Acinetobacter baumannii 164C
Acinetobacter baumannii 980 whole genome sequences
Acinetobacter baumannii AR-0273
Acinetobacter baumannii ATCC 9955
Acinetobacter baumannii ATCC BAA-747
Acinetobacter baumannii Ab-Pak-Lah-01
Acinetobacter baumannii Ab-Pak-Lah-02
Acinetobacter baumannii Ab-Pak-Pesh-05
Acinetobacter baumannii Ab-Pak-Pesh-22
Acinetobacter baumannii Ab-Pak-Pesh-25
Acinetobacter baumannii ST231
Acinetobacter baumannii Singapore I-16
Acinetobacter baumannii nan
Acinetobacter calcoaceticus-baumannii complex nan
Acinetobacter sp.. nan
Aeromonas hydrophila nan
Aeromonas hydrophilacaviae nan
Aeromonas sp.. nan
Ahrensia marina ac1
Algihabitans albus ac2
Arabidopsis thaliana nan
Aspergillus flavus CCM8363
Aspergillus flavus MTCC1884
Aspergillus flavus nan
Aspergillus fumigatus AR-731
Aspergillus fumigatus ATCC 204305
Aspergillus fumigatus Azole-resistant (F495I | L98H | S297T | TR34)
Aspergillus fumigatus Azole-resistant (L98H | TR34)
Aspergillus fumigatus nan
Aspergillus niger ATCC 6275
Aspergillus niger NCIM 1056
Aspergillus niger nan
Azospirillum brasilense Sp7
Bacillus anthracis Sterne (strain 7702)
Bacillus cereus nan
Bacillus subtilis nan
Bifidobacterium sp.. nan
Bordetella bronchiseptica ATCC 4617
Botrytis cinerea CY-12
Botrytis cinerea DL-11
Botrytis cinerea FS-09
Botrytis cinerea HLD-15
Botrytis cinerea nan
Burkholderia stabilis CH16 outbreak strain
Campylobacter coli nan
Campylobacter jejuni Wild-type
Campylobacter jejuni nan
Campylobacter sp.. nan
Candida albicans ATCC 2091
Candida albicans ATCC 24433
Candida albicans ATCC 90028
Candida albicans ATCCMYA-2876
Candida albicans CA-1
Candida albicans CA-2
Candida albicans CA-3
Candida albicans CA-4
Candida albicans nan
Candida auris AR-0383
Candida auris AR-381
Candida auris B11203 (wild-type)
Candida auris nan
Candida blankii nan
Candida bracarensis nan
Candida duobushaemulonii F4468
Candida duobushaemulonii F4586
Candida duobushaemulonii nan
Candida fermentati nan
Candida glabrata AR-315
Candida glabrata ATCC 2001
Candida glabrata nan
Candida haemulonii AR-395
Candida haemulonii nan
Candida haemulonii var. vulnera F4564
Candida haemulonii var. vulnera F4584
Candida inconspicua nan
Candida kefyr nan
Candida khanbhai nan
Candida krusei ATCC 6258
Candida krusei nan
Candida nivariensis nan
Candida norvegensis nan
Candida parapsilosis AR-0335
Candida parapsilosis ATCC 22019
Candida parapsilosis ATCC 90018
Candida parapsilosis nan
Candida tropicalis ATCC 750
Candida tropicalis nan
Chlamydia trachomatis nan
Chryseobacterium taeanense nan
Citrobacter amalonaticus nan
Citrobacter braakii nan
Citrobacter freundii PBIO1938
Citrobacter freundii PBIO1950
Citrobacter freundii nan
Citrobacter gilardii nan
Citrobacter sp.. nan
Clostridioides difficile AR-1067
Clostridioides difficile Bc1 (P30 endpoint)
Clostridioides difficile Bc10 (P30 endpoint)
Clostridioides difficile Bc11 (P30 endpoint)
Clostridioides difficile Bc2 (P30 endpoint)
Clostridioides difficile Bc3 (P30 endpoint)
Clostridioides difficile Bc4 (P30 endpoint)
Clostridioides difficile Bc5 (P30 endpoint)
Clostridioides difficile Bc7 (P30 endpoint)
Clostridioides difficile Bc8 (P30 endpoint)
Clostridioides difficile Bc9 (P30 endpoint)
Clostridioides difficile NB95013 | ATCC 43255
Clostridioides difficile nan
Clostridium difficile nan
Colletotrichum lagenarium nan
