AAH1 RPN4 0.402
ACE2 ARG81 0.426
ACE2 ASH1 0.51
ACE2 BCR1 0.771
ACE2 BRG1 0.67
ACE2 CZF1 0.554
ACE2 GZF3 0.571
ACE2 NRG1 0.501
ACE2 ROB1 0.458
ACE2 SFU1 0.68
ACE2 STB5 0.427
ACE2 TAC1 0.426
ACE2 UME6 0.524
ADA2 CAS5 0.411
ADA2 FGR27 0.405
ADA2 HIT1 0.635
ADA2 NOT4 0.956
ADA2 ZCF28 0.415
ADA2 ZCF39 0.495
ADAEC RPC11 0.429
ADAEC SUA71 0.401
ADH1 ADH2 0.561
ADH1 FBA1 0.744
ADH1 FDH3 0.815
ADH1 GAL4 0.41
ADH1 IFE2 0.456
ADH2 FBA1 0.786
ADH2 FDH3 0.828
ADH5 FDH3 0.541
ADH5 IFE2 0.662
ADH5 XYL2 0.815
ADH5 ZCF26 0.416
ADR1 CAT8 0.946
AGE2 AGE3 0.445
AGE3 GLO3 0.936
AHR1 BRG1 0.591
AHR1 CZF1 0.698
AHR1 NRG1 0.48
AHR1 WOR3 0.863
AHR1 WOR4 0.836
AHR1 ZCF3 0.501
APE2 ECM14 0.452
APE2 LAP4 0.557
APE2 LKH1 0.565
APN1 FPG1 0.674
APN1 RAD14 0.681
APN1 RAD32 0.481
APN1 REV3 0.809
APN1 ZCF24 0.556
ARG81 DAL81 0.679
ARG81 FGR27 0.503
ARG81 LEU3 0.517
ARG81 MRR2 0.403
ARG81 SUC1 0.407
ARG81 TRY2 0.514
ARG81 UGA33 0.499
ARG81 UME7 0.458
ARG81 WAR1 0.472
ARG81 ZCF25 0.506
ARG81 ZCF28 0.61
ARG81 ZCF39 0.599
ARG81 ZFU2 0.508
ARO80 CAT8 0.484
ARO80 LEU3 0.44
ARO80 RIM101 0.403
ARO80 SEF1 0.469
ARO80 UGA3 0.473
ARO80 ZCF29 0.405
ASH1 ZCF17 0.614
BCR1 BRG1 0.897
BCR1 CZF1 0.677
BCR1 GAL4 0.61
BCR1 GZF3 0.508
BCR1 NRG1 0.681
